pretraitement,classification,classifieur,kfold,size,testsize,seed,accuracy,matrice,recall,precision,fmesure
FFTFT,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5844499415927987,"[[16.         33.33333333]
 [ 7.66666667 41.66666667]]","{'truefalse': 0.8498133387145597, 'other': 0.32840177133655396}","{'truefalse': 0.5595784122615908, 'other': 0.6900970766988422}","{'truefalse': 0.6711486518730613, 'other': 0.4346076458752515}"
FFTTF,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.570947570947571,"[[23.         26.33333333]
 [16.         33.33333333]]","{'truefalse': 0.6803159228242469, 'other': 0.46943773483628554}","{'truefalse': 0.5609193438140806, 'other': 0.5979374307862679}","{'truefalse': 0.6113282356273011, 'other': 0.520858985975265}"
FFTTT,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6283240568954854,"[[28.33333333 21.        ]
 [15.66666667 33.66666667]]","{'truefalse': 0.6888249868272066, 'other': 0.5798778851315083}","{'truefalse': 0.6208871290193599, 'other': 0.6614908919809102}","{'truefalse': 0.6434210777847871, 'other': 0.6070231233021931}"
FTFFF,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5877482306053734,"[[13.         36.33333333]
 [ 4.33333333 45.        ]]","{'truefalse': 0.9177457146380564, 'other': 0.2689881910896404}","{'truefalse': 0.5601907670873189, 'other': 0.8055555555555555}","{'truefalse': 0.6892596410674795, 'other': 0.3699030926879028}"
FTFFT,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5575826290112005,"[[21.         28.33333333]
 [15.33333333 34.        ]]","{'truefalse': 0.7001199565017545, 'other': 0.4291800858829844}","{'truefalse': 0.5464452958705833, 'other': 0.6164643965280233}","{'truefalse': 0.606414818179524, 'other': 0.49029625670337573}"
FTFTF,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5809798666941525,"[[25.66666667 23.66666667]
 [17.66666667 31.66666667]]","{'truefalse': 0.6445167546721375, 'other': 0.5257313472893183}","{'truefalse': 0.576923076923077, 'other': 0.5959416863672183}","{'truefalse': 0.60489304105351, 'other': 0.5536942715210966}"
FTFTT,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6250944822373393,"[[28.33333333 21.        ]
 [16.         33.33333333]]","{'truefalse': 0.6821489030146078, 'other': 0.5765230810520666}","{'truefalse': 0.6152415087898958, 'other': 0.6521676715475165}","{'truefalse': 0.6410430250225992, 'other': 0.6047783407994908}"
FTTFF,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5606747749604892,"[[14.         35.33333333]
 [ 8.         41.33333333]]","{'truefalse': 0.8372851713584234, 'other': 0.2849235104669887}","{'truefalse': 0.539273861231763, 'other': 0.6382057839858352}","{'truefalse': 0.6547578095565711, 'other': 0.39083879083879086}"
FTTFT,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5405414691128977,"[[ 9.         40.33333333]
 [ 5.         44.33333333]]","{'truefalse': 0.8979949326786175, 'other': 0.17850912506709607}","{'truefalse': 0.5226203545714676, 'other': 0.6218766613503456}","{'truefalse': 0.6605546906532895, 'other': 0.2758070976528078}"
FTTTF,VraiFaux_Other,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5708788565931423,"[[23.66666667 25.66666667]
 [16.66666667 32.66666667]]","{'truefalse': 0.6675439186537965, 'other': 0.4862453032742888}","{'truefalse': 0.5623624358033749, 'other': 0.6042392566782812}","{'truefalse': 0.6029746180122121, 'other': 0.5270385945238762}"
