pretraitement,classification,classifieur,kfold,size,testsize,seed,accuracy,matrice,recall,precision,fmesure
FFFTF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6046863189720333,"[[28.         21.33333333]
 [17.66666667 31.66666667]]",0.6046863189720333,0.6134704590119172,0.6031596962589274
FFFTT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5339105339105339,"[[24.66666667 24.66666667]
 [21.33333333 28.        ]]",0.5339105339105339,0.5411778825079318,0.5332907215468751
FFTFF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5269016697588126,"[[18.         31.33333333]
 [15.33333333 34.        ]]",0.5269016697588126,0.5344967018330028,0.5115046398329788
FFTFT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5641448498591356,"[[15.33333333 34.        ]
 [ 9.         40.33333333]]",0.5641448498591356,0.6166820230978395,0.5303857192344069
FFTTF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5473785473785474,"[[26.33333333 23.        ]
 [21.66666667 27.66666667]]",0.5473785473785474,0.5575172780708416,0.545504037055977
FFTTT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.6013880299594586,"[[29.         20.33333333]
 [19.         30.33333333]]",0.6013880299594586,0.6108379128631459,0.6006331180656229
FTFFF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5304061018346733,"[[15.33333333 34.        ]
 [12.33333333 37.        ]]",0.5304061018346733,0.5455409353607928,0.5043203430964286
FTFFT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5642479213907786,"[[14.66666667 34.66666667]
 [ 8.33333333 41.        ]]",0.5642479213907786,0.6201811145091806,0.5304292036325877
FTFTF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5574795574795575,"[[24.33333333 25.        ]
 [18.66666667 30.66666667]]",0.5574795574795575,0.5758172487495795,0.5499604437166457
FTFTT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5405071119356833,"[[25.66666667 23.66666667]
 [21.66666667 27.66666667]]",0.5405071119356833,0.5546674125410695,0.5350910782705509
FTTFF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5101353672782244,"[[21.         28.33333333]
 [20.         29.33333333]]",0.5101353672782244,0.5222269804608003,0.500428391037716
FTTFT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5944478801621659,"[[21.33333333 28.        ]
 [12.         37.33333333]]",0.5944478801621659,0.6132054434918875,0.5794364341459338
FTTTF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5438397581254725,"[[21.66666667 27.66666667]
 [17.33333333 32.        ]]",0.5438397581254725,0.5573106212498119,0.5355779206931842
FTTTT,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5809798666941525,"[[26.66666667 22.66666667]
 [18.66666667 30.66666667]]",0.5809798666941525,0.6019671058011394,0.5720754915317102
TFFFF,Vrai_Faux_Other_Mixture,KNN,"KFold(n_splits=3, random_state=30, shuffle=True)",0.3,0.7,30,0.5348258706467662,"[[33.66666667 33.66666667]
 [29.         38.33333333]]",0.5348258706467662,0.5382327700331967,0.5327817250652856
