pretraitement,classifieur,best_params,kfold,size,testsize,accuracy,precision,recall,fmesure,matrice
FFFFF,MultinomialNB,"{'fit_prior': False, 'alpha': 5.0}","[10, 30, 5]",0.8,0.2,0.5776271186440678,0.6787696332794729,0.5776271186440678,0.5233846466624629,"[[ 7.8 21.8]
 [ 3.2 26.4]]"
FFFFT,MultinomialNB,"{'fit_prior': True, 'alpha': 2.0}","[10, 30, 5]",0.8,0.2,0.5812429378531074,0.6941234882279826,0.5812429378531074,0.5331384750240697,"[[13.  16.6]
 [ 8.2 21.4]]"
FFFTF,MultinomialNB,"{'fit_prior': False, 'alpha': 0.5}","[10, 30, 5]",0.8,0.2,0.6554802259887006,0.6686762773816185,0.6554802259887006,0.6549354337013824,"[[19.  10.6]
 [ 9.8 19.8]]"
FFFTT,MultinomialNB,"{'fit_prior': True, 'alpha': 5.0}","[10, 30, 5]",0.8,0.2,0.5847457627118644,0.6726941735387826,0.5847457627118644,0.5508001714628799,"[[15.2 14.4]
 [10.2 19.4]]"
FFTFF,MultinomialNB,"{'fit_prior': True, 'alpha': 5.0}","[10, 30, 5]",0.8,0.2,0.533728813559322,0.6717469673563914,0.533728813559322,0.467878920860621,"[[ 9.8 19.8]
 [ 7.8 21.8]]"
FFTFT,MultinomialNB,"{'fit_prior': False, 'alpha': 2.0}","[10, 30, 5]",0.8,0.2,0.6249717514124293,0.7028506861862415,0.6249717514124293,0.5885878169339478,"[[11.2 18.4]
 [ 3.8 25.8]]"
FFTTF,MultinomialNB,"{'fit_prior': False, 'alpha': 5.0}","[10, 30, 5]",0.8,0.2,0.6251412429378531,0.6512720824096696,0.6251412429378531,0.6198663137640569,"[[16.4 13.2]
 [ 9.  20.6]]"
FFTTT,MultinomialNB,"{'fit_prior': True, 'alpha': 10.0}","[10, 30, 5]",0.8,0.2,0.5104519774011299,0.526003916046289,0.5104519774011299,0.4192489467056459,"[[14.8 14.8]
 [14.2 15.4]]"
FTFFF,MultinomialNB,"{'fit_prior': False, 'alpha': 2.0}","[10, 30, 5]",0.8,0.2,0.6149152542372881,0.7292854516685392,0.6149152542372881,0.5733222268404643,"[[10.4 19.2]
 [ 3.6 26. ]]"
FTFFT,MultinomialNB,"{'fit_prior': False, 'alpha': 2.0}","[10, 30, 5]",0.8,0.2,0.5912994350282487,0.6795850772243959,0.5912994350282487,0.5599695579884032,"[[11.  18.6]
 [ 5.6 24. ]]"
