pretraitement,classifieur,best_params,kfold,size,testsize,accuracy,precision,recall,fmesure,matrice
FFFFF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7909481544096929,0.7954007193188153,0.7909481544096929,0.790886078909755,"[[65.  19.2]
 [16.  68.2]]"
FFFFT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7743589743589743,0.7762975198999533,0.7743589743589743,0.7745714737203706,"[[65.2 19. ]
 [19.  65.2]]"
FFFTF,SVM,"{'kernel': 'sigmoid', 'gamma': 0.1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.7482741617357002,0.7547314654526485,0.7482741617357002,0.7481049610385014,"[[63.8 20.4]
 [22.  62.2]]"
FFFTT,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 100}","[10, 30, 5]",0.8,0.2,0.761306001690617,0.7641286479161918,0.761306001690617,0.7613902881475422,"[[65.4 18.8]
 [21.4 62.8]]"
FFTFF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7720625528317836,0.7763764647395782,0.7720625528317836,0.7718662502030671,"[[62.  22.2]
 [16.2 68. ]]"
FFTFT,SVM,"{'kernel': 'sigmoid', 'gamma': 0.1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.7649056072132995,0.76770903512745,0.7649056072132995,0.7651223228372311,"[[64.2 20. ]
 [19.6 64.6]]"
FFTTF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7553817976894901,0.7610934178957959,0.7553817976894901,0.75540652497482,"[[63.2 21. ]
 [20.2 64. ]]"
FFTTT,SVM,"{'kernel': 'sigmoid', 'gamma': 0.1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.7672090729783038,0.7708574590147255,0.7672090729783038,0.7673952046334078,"[[64.8 19.4]
 [19.8 64.4]]"
FTFFF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7648915187376726,0.768665943640458,0.7648915187376726,0.7647951677954271,"[[63.4 20.8]
 [18.8 65.4]]"
FTFFT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7731191885038039,0.7749281485821976,0.7731191885038039,0.7732471684929021,"[[64.2 20. ]
 [18.2 66. ]]"
FTFTF,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.776803324880248,0.7820597377858188,0.776803324880248,0.7768620717475755,"[[66.2 18. ]
 [19.6 64.6]]"
FTFTT,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7576711749788674,0.7604086146917405,0.7576711749788674,0.75782167295225,"[[64.8 19.4]
 [21.4 62.8]]"
FTTFF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.758960270498732,0.76088279753634,0.758960270498732,0.7588965226526367,"[[62.  22.2]
 [18.4 65.8]]"
FTTFT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7766835728374191,0.7804021226778391,0.7766835728374191,0.7766874432585233,"[[64.  20.2]
 [17.4 66.8]]"
FTTTF,SVM,"{'kernel': 'sigmoid', 'gamma': 0.1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.7850169061707523,0.788115490899977,0.7850169061707523,0.7850960140759355,"[[66.2 18. ]
 [18.2 66. ]]"
FTTTT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.750570583262891,0.7540408957248589,0.750570583262891,0.7506638256399657,"[[63.  21.2]
 [20.8 63.4]]"
TFFFF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7936586749893602,0.7948041197066716,0.7936586749893602,0.793850729797582,"[[106.   26.8]
 [ 28.  104.8]]"
TFFFT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.8177670591573273,0.8199394120446708,0.8177670591573273,0.817852403905215,"[[106.6  26.2]
 [ 22.2 110.6]]"
TFFTF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.771082423038729,0.7735264175712064,0.771082423038729,0.7711817978819531,"[[102.8  30. ]
 [ 30.8 102. ]]"
TFFTT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7861455525606469,0.7870400501654655,0.7861455525606469,0.7862710134179534,"[[104.2  28.6]
 [ 28.2 104.6]]"
TFTFF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.8034529720527734,0.8046838147847458,0.8034529720527734,0.803594645263477,"[[108.2  24.6]
 [ 27.6 105.2]]"
TFTFT,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7853653000425593,0.7886286466686449,0.7853653000425593,0.7855756775181003,"[[103.6  29.2]
 [ 27.8 105. ]]"
TFTTF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7906483189104837,0.7941505656687553,0.7906483189104837,0.7907064716637346,"[[107.   25.8]
 [ 29.8 103. ]]"
TFTTT,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.787657823804795,0.7888117209393319,0.787657823804795,0.7878296487489502,"[[104.2  28.6]
 [ 27.8 105. ]]"
TTFFF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7883813306852036,0.7901463463646354,0.7883813306852036,0.7884915617646542,"[[103.8  29. ]
 [ 27.2 105.6]]"
TTFFT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.798169953184849,0.8008048902380634,0.798169953184849,0.7982805821650418,"[[103.2  29.6]
 [ 24.  108.8]]"
TTFTF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7823804795006385,0.7835337503839003,0.7823804795006385,0.7824549289317609,"[[103.2  29.6]
 [ 28.2 104.6]]"
TTFTT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7778408284863101,0.7836553107333101,0.7778408284863101,0.7779431000325538,"[[104.4  28.4]
 [ 30.6 102.2]]"
TTTFF,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7853794864519791,0.786838740925604,0.7853794864519791,0.7855161286497487,"[[102.8  30. ]
 [ 27.  105.8]]"
TTTFT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.8026982550716413,0.8048016310668616,0.8026982550716413,0.8026931388956424,"[[104.4  28.4]
 [ 24.  108.8]]"
TTTTF,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.7876379628316073,0.789755204376363,0.7876379628316073,0.7877858643472212,"[[102.6  30.2]
 [ 26.2 106.6]]"
TTTTT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.7891700950489431,0.7905091046802382,0.7891700950489431,0.7892865536462981,"[[104.   28.8]
 [ 27.2 105.6]]"
FFFFF,RFO,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 40, 'bootstrap': False}","[10, 30, 5]",0.8,0.2,0.7351648351648352,0.7412724095436108,0.7351648351648352,0.7350061970977242,"[[60.  24.2]
 [20.4 63.8]]"
FFFFT,RFO,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': False}","[10, 30, 5]",0.8,0.2,0.7280008453085376,0.7345406450443462,0.7280008453085376,0.7278120689925063,"[[62.  22.2]
 [23.6 60.6]]"
FFFTF,RFO,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}","[10, 30, 5]",0.8,0.2,0.7446886446886448,0.7495166135716074,0.7446886446886448,0.7446272036284524,"[[60.6 23.6]
 [19.4 64.8]]"
