pretraitement,classifieur,best_params,kfold,size,testsize,accuracy,precision,recall,fmesure,matrice
FFFFF,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.469690927218345,0.500160485546916,0.469690927218345,0.4686355698372752,"[[15.4  4.8  5.4  4. ]
 [ 5.  14.   7.   3.6]
 [ 4.6  7.6 12.6  4.8]
 [ 4.8  5.6  5.6 13.6]]"
FFFFT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.4763281583819968,0.492997404448449,0.4763281583819968,0.4769143879379556,"[[14.4  4.   6.6  4.6]
 [ 4.8 14.6  5.8  4.4]
 [ 5.6  7.4 11.6  5. ]
 [ 4.2  5.4  4.2 15.8]]"
FFFTF,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.4897450505625979,0.5302416139556392,0.4897450505625979,0.4903748510656998,"[[16.6  5.   4.4  3.6]
 [ 6.6 12.   7.8  3.2]
 [ 3.8  6.4 15.6  3.8]
 [ 6.6  4.2  5.  13.8]]"
FFFTT,SVM,"{'kernel': 'sigmoid', 'gamma': 0.1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.4426292550918672,0.4698795444312485,0.4426292550918672,0.4438225260176817,"[[13.   6.8  4.8  5. ]
 [ 5.2 11.  10.6  2.8]
 [ 2.4  7.6 14.8  4.8]
 [ 5.   4.4  6.6 13.6]]"
FFTFF,SVM,"{'kernel': 'sigmoid', 'gamma': 0.1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.4730095428001709,0.5077423319353194,0.4730095428001709,0.4770109368998272,"[[14.8  6.   3.8  5. ]
 [ 3.2 14.   8.2  4.2]
 [ 2.2  9.8 12.8  4.8]
 [ 4.4  6.2  4.6 14.4]]"
FFTFT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.4425437971798889,0.4507249247676294,0.4425437971798889,0.4382654962664802,"[[15.6  3.   5.6  5.4]
 [ 5.4 11.6  8.   4.6]
 [ 5.   9.6 10.6  4.4]
 [ 5.2  6.4  3.4 14.6]]"
FFTTF,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.4864691639367612,0.5044062458938221,0.4864691639367612,0.4841097671404488,"[[16.8  4.6  3.2  5. ]
 [ 5.  12.4  9.   3.2]
 [ 2.6  7.4 15.2  4.4]
 [ 7.2  3.4  5.8 13.2]]"
FFTTT,SVM,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100}","[10, 30, 5]",0.8,0.2,0.478080045577553,0.4997439194673502,0.478080045577553,0.4801436683809862,"[[16.2  3.2  5.4  4.8]
 [ 5.6 13.   8.4  2.6]
 [ 5.   8.  12.2  4.4]
 [ 6.2  3.   5.2 15.2]]"
FTFFF,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.4982481128044438,0.5124745027894357,0.4982481128044438,0.4933993710871882,"[[17.   5.2  4.8  2.6]
 [ 6.2 13.8  5.8  3.8]
 [ 4.2  6.6 13.8  5. ]
 [ 6.   5.2  4.  14.4]]"
FTFFT,SVM,"{'kernel': 'rbf', 'gamma': 1, 'C': 10}","[10, 30, 5]",0.8,0.2,0.4713573565019228,0.4926630706180647,0.4713573565019228,0.4727369020921282,"[[17.6  3.2  4.8  4. ]
 [ 5.  11.   9.4  4.2]
 [ 5.   7.8 12.4  4.4]
 [ 4.6  5.6  4.6 14.8]]"
