pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
FFFFF,KNN,5,0.5271186440677966,0.5356525668850304,0.5271186440677966,0.4938186930459552,"[[ 9.  20.6]
 [ 7.4 22.2]]"
FFFFT,KNN,5,0.5675706214689266,0.622114819215772,0.5675706214689266,0.5262589808021955,"[[ 8.4 21.2]
 [ 4.4 25.2]]"
FFFTF,KNN,5,0.5671751412429379,0.5715870954730411,0.5671751412429379,0.5673317070711249,"[[16.6 13. ]
 [12.6 17. ]]"
FFFTT,KNN,5,0.5781920903954803,0.595183184891359,0.5781920903954803,0.572587085702337,"[[15.6 14. ]
 [11.  18.6]]"
FFTFF,KNN,5,0.5268361581920904,0.5711465838334054,0.5268361581920904,0.4415835368900637,"[[ 4.  25.6]
 [ 2.4 27.2]]"
FFTFT,KNN,5,0.5709604519774011,0.5971384607368913,0.5709604519774011,0.5272933956327236,"[[ 9.2 20.4]
 [ 5.  24.6]]"
FFTTF,KNN,5,0.5948022598870056,0.6075645481125245,0.5948022598870056,0.5879901746111905,"[[17.  12.6]
 [11.4 18.2]]"
FFTTT,KNN,5,0.5743502824858757,0.5901090014282794,0.5743502824858757,0.5692094682974213,"[[16.6 13. ]
 [12.2 17.4]]"
FTFFF,KNN,5,0.6079661016949152,0.6641875021445293,0.6079661016949152,0.5793183866370127,"[[11.  18.6]
 [ 4.6 25. ]]"
FTFFT,KNN,5,0.5166666666666667,0.517639678005315,0.5166666666666667,0.5054398568317763,"[[12.4 17.2]
 [11.4 18.2]]"
FTFTF,KNN,5,0.5641807909604519,0.5829003595523179,0.5641807909604519,0.557846509978903,"[[15.8 13.8]
 [12.  17.6]]"
FTFTT,KNN,5,0.5909604519774011,0.5988685437182262,0.5909604519774011,0.58716436259239,"[[16.  13.6]
 [10.6 19. ]]"
FTTFF,KNN,5,0.5706214689265536,0.6116319290902816,0.5706214689265536,0.5284073773650179,"[[ 8.2 21.4]
 [ 4.  25.6]]"
FTTFT,KNN,5,0.5644067796610169,0.6033912724020797,0.5644067796610169,0.5396175814936466,"[[11.2 18.4]
 [ 7.4 22.2]]"
FTTTF,KNN,5,0.604632768361582,0.6123369598204313,0.604632768361582,0.6019768040727314,"[[17.8 11.8]
 [11.6 18. ]]"
FTTTT,KNN,5,0.6182485875706215,0.6379938742820396,0.6182485875706215,0.6160918447827041,"[[17.  12.6]
 [10.  19.6]]"
TFFFF,KNN,5,0.591574074074074,0.6222826982214398,0.591574074074074,0.5760709420483014,"[[16.8 23.6]
 [ 9.4 31. ]]"
TFFFT,KNN,5,0.5445679012345679,0.5510591397005623,0.5445679012345679,0.5427937326304699,"[[22.8 17.6]
 [19.2 21.2]]"
TFFTF,KNN,5,0.5841049382716049,0.5887560187217711,0.5841049382716049,0.5825498740767394,"[[20.8 19.6]
 [14.  26.4]]"
TFFTT,KNN,5,0.6037345679012345,0.6109955949532402,0.6037345679012345,0.6027443809803332,"[[27.  13.4]
 [18.6 21.8]]"
TFTFF,KNN,5,0.5718827160493827,0.5956504170710387,0.5718827160493827,0.5566249988079752,"[[15.8 24.6]
 [10.  30.4]]"
TFTFT,KNN,5,0.6187962962962963,0.6365798451694644,0.6187962962962963,0.6046724848965535,"[[18.  22.4]
 [ 8.4 32. ]]"
TFTTF,KNN,5,0.6359876543209877,0.6421420736414205,0.6359876543209877,0.6338429389522864,"[[28.8 11.6]
 [17.8 22.6]]"
TFTTT,KNN,5,0.5839197530864197,0.588616576879283,0.5839197530864197,0.5829729485942343,"[[26.  14.4]
 [19.2 21.2]]"
TTFFF,KNN,5,0.5889814814814816,0.6011260163903532,0.5889814814814816,0.5759235183367176,"[[17.4 23. ]
 [10.2 30.2]]"
TTFFT,KNN,5,0.5592901234567902,0.5574912818606296,0.5592901234567902,0.5518021485069541,"[[21.4 19. ]
 [16.6 23.8]]"
TTFTF,KNN,5,0.5966975308641975,0.6062109247683,0.5966975308641975,0.5953012665502528,"[[24.8 15.6]
 [17.  23.4]]"
TTFTT,KNN,5,0.6113271604938271,0.6149853190980641,0.6113271604938271,0.6081489525309509,"[[26.6 13.8]
 [17.6 22.8]]"
TTTFF,KNN,5,0.6015432098765432,0.6190763497856089,0.6015432098765432,0.5896530871783987,"[[19.2 21.2]
 [11.  29.4]]"
TTTFT,KNN,5,0.5741666666666667,0.5818957649097576,0.5741666666666667,0.5723114687942775,"[[21.6 18.8]
 [15.6 24.8]]"
TTTTF,KNN,5,0.5790740740740741,0.5848257198323193,0.5790740740740741,0.5785503639321831,"[[22.4 18. ]
 [16.  24.4]]"
TTTTT,KNN,5,0.6087962962962964,0.6170452790213375,0.6087962962962964,0.6077700229211591,"[[25.2 15.2]
 [16.4 24. ]]"
FFFFF,CART,5,0.5506779661016948,0.5629513244598514,0.5506779661016948,0.5473299470762824,"[[19.2 10.4]
 [16.2 13.4]]"
FFFFT,CART,5,0.5979661016949153,0.6002678435882158,0.5979661016949153,0.5959743436439056,"[[19.6 10. ]
 [13.8 15.8]]"
FFFTF,CART,5,0.594406779661017,0.5994320541083298,0.594406779661017,0.5905355356393724,"[[19.2 10.4]
 [13.6 16. ]]"
FFFTT,CART,5,0.601638418079096,0.6100553206055805,0.601638418079096,0.6001859267959743,"[[19.8  9.8]
 [13.8 15.8]]"
FFTFF,CART,5,0.554180790960452,0.5587290095380713,0.554180790960452,0.5525199917749406,"[[18.2 11.4]
 [15.  14.6]]"
FFTFT,CART,5,0.5677401129943502,0.5733925082833474,0.5677401129943502,0.5686274395509898,"[[16.8 12.8]
 [12.8 16.8]]"
FFTTF,CART,5,0.621864406779661,0.6266796170457666,0.621864406779661,0.6211953361888352,"[[18.4 11.2]
 [11.2 18.4]]"
FFTTT,CART,5,0.5948022598870056,0.6007717480145208,0.5948022598870056,0.5928420428633405,"[[19.8  9.8]
 [14.2 15.4]]"
FTFFF,CART,5,0.6084745762711864,0.6136098075203448,0.6084745762711864,0.6079570381109025,"[[18.4 11.2]
 [12.  17.6]]"
FTFFT,CART,5,0.5509039548022598,0.5512227205892661,0.5509039548022598,0.5500955641229994,"[[17.4 12.2]
 [14.4 15.2]]"
FTFTF,CART,5,0.5879661016949154,0.5952202013726151,0.5879661016949154,0.5875126388931948,"[[18.2 11.4]
 [13.  16.6]]"
FTFTT,CART,5,0.6080790960451977,0.6142890249657154,0.6080790960451977,0.6038480644746608,"[[20.2  9.4]
 [13.8 15.8]]"
FTTFF,CART,5,0.5810734463276838,0.5873884497301746,0.5810734463276838,0.5795720424721116,"[[18.4 11.2]
 [13.6 16. ]]"
FTTFT,CART,5,0.5710169491525424,0.5799354961017672,0.5710169491525424,0.5639106478572297,"[[20.   9.6]
 [15.8 13.8]]"
FTTTF,CART,5,0.601412429378531,0.6092868345001377,0.601412429378531,0.6000093677511593,"[[18.4 11.2]
 [12.4 17.2]]"
FTTTT,CART,5,0.5507344632768362,0.5540040624786388,0.5507344632768362,0.5512195914799685,"[[16.6 13. ]
 [13.6 16. ]]"
TFFFF,CART,5,0.5767592592592592,0.5881786463440297,0.5767592592592592,0.5759822925638765,"[[24.6 15.8]
 [18.4 22. ]]"
TFFFT,CART,5,0.5644444444444445,0.5704187675528672,0.5644444444444445,0.5630756608714774,"[[23.8 16.6]
 [18.6 21.8]]"
TFFTF,CART,5,0.5494753086419754,0.5548644428462115,0.5494753086419754,0.5481175769861512,"[[24.6 15.8]
 [20.6 19.8]]"
TFFTT,CART,5,0.5718518518518519,0.5797160353629434,0.5718518518518519,0.5706387537700639,"[[24.2 16.2]
 [18.4 22. ]]"
TFTFF,CART,5,0.5468827160493828,0.5538867609436481,0.5468827160493828,0.5455550025757598,"[[24.4 16. ]
 [20.6 19.8]]"
TFTFT,CART,5,0.5962962962962963,0.6039474227783186,0.5962962962962963,0.5968719308958763,"[[23.8 16.6]
 [16.  24.4]]"
TFTTF,CART,5,0.5964197530864197,0.6080849861572126,0.5964197530864197,0.594217198309735,"[[26.  14.4]
 [18.2 22.2]]"
TFTTT,CART,5,0.5791975308641975,0.5835111552699628,0.5791975308641975,0.5796772140567693,"[[23.2 17.2]
 [16.8 23.6]]"
TTFFF,CART,5,0.6262345679012347,0.6304924802013077,0.6262345679012347,0.626822749232107,"[[25.2 15.2]
 [15.  25.4]]"
TTFFT,CART,5,0.5345987654320987,0.5446795490437001,0.5345987654320987,0.5329928796503162,"[[23.4 17. ]
 [20.6 19.8]]"
TTFTF,CART,5,0.6112037037037037,0.6192242484557785,0.6112037037037037,0.6087524059185776,"[[26.4 14. ]
 [17.4 23. ]]"
TTFTT,CART,5,0.5050308641975308,0.5146219326969982,0.5050308641975308,0.5019153419032754,"[[23.2 17.2]
 [22.8 17.6]]"
TTTFF,CART,5,0.5941358024691358,0.6011857927305458,0.5941358024691358,0.5937321602985335,"[[26.  14.4]
 [18.4 22. ]]"
