pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
FFFFF,KNN,5,0.6319385742462665,0.65759722254835,0.6319385742462665,0.620884330429011,"[[43.6 40.6]
 [21.4 62.8]]"
FFFFF,KNN,5,0.6307480980557904,0.6635223232472758,0.6307480980557904,0.6151279926959059,"[[39.2 45. ]
 [17.2 67. ]]"
FFFFT,KNN,5,0.614102564102564,0.6542026885000862,0.614102564102564,0.592189372804833,"[[32.8 51.4]
 [13.6 70.6]]"
FFFTF,KNN,5,0.6758453085376163,0.6834975155619201,0.6758453085376163,0.6741297549855679,"[[50.6 33.6]
 [21.  63.2]]"
FFFTT,KNN,5,0.6615525500140885,0.6667086630307825,0.6615525500140885,0.6607459804430867,"[[51.8 32.4]
 [24.6 59.6]]"
FFTFF,KNN,5,0.6389969005353622,0.690526313506302,0.6389969005353622,0.6192607511804695,"[[38.6 45.6]
 [15.2 69. ]]"
FFTFT,KNN,5,0.6188644688644689,0.6372408099694944,0.6188644688644689,0.6089250073230511,"[[39.8 44.4]
 [19.8 64.4]]"
FFTTF,KNN,5,0.6841856861087631,0.68921136553665,0.6841856861087631,0.6831690397213194,"[[52.4 31.8]
 [21.4 62.8]]"
FFTTT,KNN,5,0.6723443223443224,0.6805292363558044,0.6723443223443224,0.669817464188531,"[[49.8 34.4]
 [20.8 63.4]]"
FTFFF,KNN,5,0.6093406593406593,0.6527618729710896,0.6093406593406593,0.5813352031328354,"[[30.  54.2]
 [11.6 72.6]]"
FTFFT,KNN,5,0.6129120879120878,0.623146880242305,0.6129120879120878,0.6095236667121372,"[[48.8 35.4]
 [29.8 54.4]]"
FTFTF,KNN,5,0.6984009580163427,0.7021168206563951,0.6984009580163427,0.6973967868240818,"[[53.8 30.4]
 [20.4 63.8]]"
FTFTT,KNN,5,0.6579952099182869,0.6599837392614182,0.6579952099182869,0.6577789994113987,"[[52.2 32. ]
 [25.6 58.6]]"
FTTFF,KNN,5,0.6176105945336714,0.6439494698378931,0.6176105945336714,0.6056873434879964,"[[41.4 42.8]
 [21.6 62.6]]"
FTTFT,KNN,5,0.6461115807269653,0.6629015300523092,0.6461115807269653,0.6415820600356856,"[[52.4 31.8]
 [27.8 56.4]]"
FTTTF,KNN,5,0.6793744716821639,0.6823868690811727,0.6793744716821639,0.6780083229652399,"[[53.  31.2]
 [22.8 61.4]]"
FTTTT,KNN,5,0.6555860805860806,0.6613866304690321,0.6555860805860806,0.6539437436699801,"[[49.  35.2]
 [22.8 61.4]]"
TFFFF,KNN,5,0.6445368137324443,0.6572190402503837,0.6445368137324443,0.6380348596921847,"[[ 70.2  62.6]
 [ 31.8 101. ]]"
TFFFT,KNN,5,0.6430727762803234,0.6559319463493265,0.6430727762803234,0.6366153123435204,"[[ 68.6  64.2]
 [ 30.6 102.2]]"
TFFTF,KNN,5,0.6664094197758547,0.6737614499835439,0.6664094197758547,0.6650493172350107,"[[79.4 53.4]
 [35.2 97.6]]"
TFFTT,KNN,5,0.6663980706483189,0.6766617847894763,0.6663980706483189,0.6636010961541655,"[[77.6 55.2]
 [33.4 99.4]]"
TFTFF,KNN,5,0.6302340757554263,0.6576509340799535,0.6302340757554263,0.6168981338173798,"[[ 59.2  73.6]
 [ 24.6 108.2]]"
TFTFT,KNN,5,0.6340218470705065,0.6561712309073326,0.6340218470705065,0.6234937893635599,"[[ 62.2  70.6]
 [ 26.6 106.2]]"
TFTTF,KNN,5,0.6807291814441765,0.6893288175270785,0.6807291814441765,0.6790712198423356,"[[ 80.4  52.4]
 [ 32.4 100.4]]"
