pretraitement,classifieur,n_split,accuracy,precision,recall,fmesure,matrice
FFFFF,KNN,5,0.3462897023216066,0.3868185448824054,0.3462897023216066,0.3160065501575403,"[[12.2 12.4  3.8  1.2]
 [ 6.6 19.   3.   1. ]
 [ 7.4 14.6  5.6  2. ]
 [ 8.  13.2  4.2  4.2]]"
FFFFT,KNN,5,0.3090442956843754,0.3498842180373243,0.3090442956843754,0.272989541063414,"[[ 8.2 16.8  3.   1.6]
 [ 4.2 20.8  2.2  2.4]
 [ 5.4 17.6  4.   2.6]
 [ 4.4 17.8  3.8  3.6]]"
FFFTF,KNN,5,0.3681669277880644,0.388384880552872,0.3681669277880644,0.3609310460137962,"[[15.2  5.8  4.8  3.8]
 [ 7.2 12.6  6.4  3.4]
 [ 9.4  9.2  8.   3. ]
 [ 8.2  8.   5.6  7.8]]"
FFFTT,KNN,5,0.3782936903574989,0.4116376179349122,0.3782936903574989,0.3766081406172227,"[[12.2  8.4  4.4  4.6]
 [ 9.2 13.8  3.2  3.4]
 [ 6.  10.4 10.8  2.4]
 [ 7.6  9.2  4.8  8. ]]"
FFTFF,KNN,5,0.3276883634809856,0.3850320783286413,0.3276883634809856,0.3012249435470649,"[[14.4 10.6  3.6  1. ]
 [10.2 14.8  4.   0.6]
 [11.4  9.6  6.4  2.2]
 [10.2 11.2  5.   3.2]]"
FFTFT,KNN,5,0.2939040022788776,0.3873421539161118,0.2939040022788776,0.2563180197809692,"[[ 6.4 20.8  1.6  0.8]
 [ 4.  21.4  3.4  0.8]
 [ 3.2 22.4  2.8  1.2]
 [ 4.6 19.   1.8  4.2]]"
FFTTF,KNN,5,0.3919099843327161,0.3975127755228559,0.3919099843327161,0.3762049952263726,"[[16.   6.8  4.4  2.4]
 [ 6.2 15.   4.8  3.6]
 [ 4.4 11.2 10.2  3.8]
 [ 6.4 10.6  7.4  5.2]]"
FFTTT,KNN,5,0.3664150405925082,0.3831785721884356,0.3664150405925082,0.3601049674322169,"[[13.8  6.8  4.2  4.8]
 [ 5.6 13.8  6.6  3.6]
 [ 6.  11.8  8.2  3.6]
 [ 7.4 10.8  3.8  7.6]]"
FTFFF,KNN,5,0.3327588662583677,0.3954861856019721,0.3327588662583677,0.3017223346462787,"[[11.  13.8  2.8  2. ]
 [ 6.6 19.2  2.4  1.4]
 [ 6.4 16.4  5.6  1.2]
 [ 6.  16.4  3.6  3.6]]"
FTFFT,KNN,5,0.3650192280301951,0.4058684543198635,0.3650192280301951,0.3455596589652494,"[[15.4  7.   5.4  1.8]
 [10.6 10.8  6.4  1.8]
 [ 9.   8.2 10.6  1.8]
 [ 9.4  7.4  6.4  6.4]]"
FTFTF,KNN,5,0.3784218772254664,0.3956210532245902,0.3784218772254664,0.3749080134093109,"[[13.4  7.8  5.   3.4]
 [ 8.2 10.8  6.8  3.8]
 [ 7.2  6.2 12.8  3.4]
 [ 8.8  8.2  4.8  7.8]]"
FTFTT,KNN,5,0.3446232730380288,0.3632909953834053,0.3446232730380288,0.3378636261409206,"[[12.6  7.4  4.8  4.8]
 [ 7.  13.4  6.4  2.8]
 [ 8.  12.   6.2  3.4]
 [ 6.8  9.8  4.4  8.6]]"
FTTFF,KNN,5,0.3478706736932061,0.4017276418475115,0.3478706736932061,0.3131718505763888,"[[12.8 13.6  2.6  0.6]
 [ 4.2 19.6  4.4  1.4]
 [ 5.6 16.8  5.6  1.6]
 [ 5.6 17.   3.8  3.2]]"
FTTFT,KNN,5,0.3412049565588947,0.3936384520897426,0.3412049565588947,0.3114095364777696,"[[18.8  7.4  2.4  1. ]
 [12.4 11.2  4.8  1.2]
 [12.   9.   6.8  1.8]
 [14.6  6.8  4.6  3.6]]"
FTTTF,KNN,5,0.3344822674832645,0.3409013423909061,0.3344822674832645,0.3278311410296461,"[[12.2  6.   6.2  5.2]
 [ 7.6 10.2  8.6  3.2]
 [ 6.2  9.2 10.2  4. ]
 [ 8.8  8.8  5.   7. ]]"
FTTTT,KNN,5,0.409015809713716,0.4367756771698866,0.409015809713716,0.4021299494581091,"[[15.6  7.   4.6  2.4]
 [ 6.  14.6  6.8  2.2]
 [ 7.8  8.4 10.8  2.6]
 [ 7.2 10.4  4.6  7.4]]"
TFFFF,KNN,5,0.306725744149057,0.334410182859294,0.306725744149057,0.2979799664017138,"[[11.  13.8 12.8  3. ]
 [ 5.2 20.  12.8  2.6]
 [ 7.2 18.  11.4  4. ]
 [ 7.2 11.2 14.8  7.4]]"
TFFFT,KNN,5,0.3435355600999773,0.3788771026012541,0.3435355600999773,0.3354089964895332,"[[14.8  8.4 15.4  2. ]
 [ 7.4 11.4 18.2  3.6]
 [ 8.4  7.8 20.2  4.2]
 [ 6.4  7.2 17.6  9.4]]"
TFFTF,KNN,5,0.3694160418086798,0.3750725038184866,0.3694160418086798,0.3631569151074626,"[[18.2  7.8  8.   6.6]
 [ 8.6 18.8  9.2  4. ]
 [ 9.6 12.6 12.2  6.2]
 [10.6 12.6  6.6 10.8]]"
TFFTT,KNN,5,0.3842308566234946,0.3911881361313364,0.3842308566234946,0.3824416791198094,"[[17.2  8.6  7.2  7.6]
 [ 7.8 15.6 10.4  6.8]
 [ 8.2 10.2 15.4  6.8]
 [ 9.   8.4  9.  14.2]]"
TFTFF,KNN,5,0.3201923805195789,0.3565663110124387,0.3201923805195789,0.3005685206731776,"[[12.8 19.6  4.4  3.8]
 [10.  24.2  3.   3.4]
 [ 9.4 21.2  7.2  2.8]
 [ 9.  18.   5.8  7.8]]"
TFTFT,KNN,5,0.348511701885935,0.3643205844293585,0.348511701885935,0.3334679686042849,"[[11.4 17.6  6.   5.6]
 [ 4.2 25.2  5.8  5.4]
 [ 7.8 19.   8.2  5.6]
 [ 6.  15.   7.8 11.8]]"
TFTTF,KNN,5,0.3767931530712717,0.3902861362947398,0.3767931530712717,0.3739808817049875,"[[16.8  9.2  8.   6.6]
 [ 9.  18.8  7.8  5. ]
 [ 9.6 14.  13.   4. ]
 [ 9.8 11.8  6.4 12.6]]"
TFTTT,KNN,5,0.3879648564720139,0.3945622057590104,0.3879648564720139,0.3838598328678093,"[[18.4  9.8  5.4  7. ]
 [ 9.  19.   6.6  6. ]
 [ 9.2 13.8 12.2  5.4]
 [10.  10.8  6.4 13.4]]"
TTFFF,KNN,5,0.3522457017344543,0.4022229590785035,0.3522457017344543,0.3339857474293136,"[[14.8 18.2  5.   2.6]
 [ 7.  25.2  5.2  3.2]
 [ 6.4 20.6 10.   3.6]
 [ 7.  17.2  9.2  7.2]]"
TTFFT,KNN,5,0.380519578883587,0.4076032168096953,0.380519578883587,0.3589919220943408,"[[15.6 15.4  3.8  5.8]
 [ 7.  27.8  2.2  3.6]
 [ 8.6 18.8  7.6  5.6]
 [ 7.8 18.   4.  10.8]]"
TTFTF,KNN,5,0.344830720290843,0.3468245847034784,0.344830720290843,0.3400029120112435,"[[16.6  8.4  8.6  7. ]
 [ 9.2 17.4  9.4  4.6]
 [10.4 12.8 11.2  6.2]
 [ 9.6 10.8  9.4 10.8]]"
TTFTT,KNN,5,0.3484965538135272,0.3582551489928183,0.3484965538135272,0.34647777993383,"[[17.8  8.4  8.   6.4]
 [ 9.6 14.2 11.2  5.6]
 [11.  11.8 12.6  5.2]
 [ 9.4 12.   7.2 12. ]]"
TTTFF,KNN,5,0.3449216087252897,0.3808722642210181,0.3449216087252897,0.3327398852859889,"[[15.2 15.6  6.8  3. ]
 [ 7.6 21.2  9.6  2.2]
 [ 8.  17.  12.6  3. ]
 [ 7.6 13.4 12.6  7. ]]"
TTTFT,KNN,5,0.3374763311368628,0.3472926487539641,0.3374763311368628,0.3353384419634907,"[[17.2  7.8 10.2  5.4]
 [10.2 14.  11.8  4.6]
 [10.6 12.8 11.4  5.8]
 [ 9.4  9.  10.  12.2]]"
TTTTF,KNN,5,0.3965159433462092,0.3987632095220706,0.3965159433462092,0.3938787545484631,"[[17.8  7.4  8.2  7.2]
 [ 6.6 19.8  8.6  5.6]
 [ 8.4 12.  14.2  6. ]
 [10.4 10.2  7.4 12.6]]"
TTTTT,KNN,5,0.3756721957130954,0.3797630077337992,0.3756721957130954,0.3713055024870688,"[[20.2  8.   6.2  6.2]
 [ 8.4 14.4  9.8  8. ]
 [ 9.6 10.6 12.8  7.6]
 [ 9.  11.6  6.4 13.6]]"
FFFFF,CART,5,0.3733228884774249,0.3821064549158926,0.3733228884774249,0.3713343467581428,"[[ 9.4  7.   6.4  6.8]
 [ 6.2  9.8  7.4  6.2]
 [ 5.   7.6 10.4  6.6]
 [ 4.8  5.6  4.6 14.6]]"
FFFFT,CART,5,0.3580544082039595,0.3708986967333963,0.3580544082039595,0.358648372435734,"[[11.   7.   5.2  6.4]
 [ 7.6  9.8  6.6  5.6]
 [ 7.   8.2  8.8  5.6]
 [ 6.4  4.4  6.  12.8]]"
FFFTF,CART,5,0.3479561316051844,0.3512912119031727,0.3479561316051844,0.3441456761170622,"[[ 9.   6.8  7.6  6.2]
 [ 6.2  9.   8.   6.4]
 [ 7.4  8.4  8.6  5.2]
 [ 3.6  4.8  6.6 14.6]]"
FFFTT,CART,5,0.3361059678108531,0.3491142724407681,0.3361059678108531,0.3345918228558291,"[[ 9.8  8.2  5.4  6.2]
 [ 5.6  9.2  7.4  7.4]
 [ 5.2  7.   9.   8.4]
 [ 6.6  5.6  5.6 11.8]]"
FFTFF,CART,5,0.3597493234581969,0.3629343183886667,0.3597493234581969,0.3547957986772407,"[[ 9.2  6.4  8.   6. ]
 [ 7.4  8.6  7.4  6.2]
 [ 6.8  5.8 11.   6. ]
 [ 5.   4.8  6.  13.8]]"
FFTFT,CART,5,0.4206238427574419,0.430928538196272,0.4206238427574419,0.4209916516980277,"[[11.6  4.2  7.8  6. ]
 [ 5.2 12.6  6.   5.8]
 [ 6.2  5.2 11.8  6.4]
 [ 3.6  5.   7.2 13.8]]"
FFTTF,CART,5,0.3614442387124341,0.3710009902896264,0.3614442387124341,0.3598227854809138,"[[ 8.8  7.   6.6  7.2]
 [ 4.8  9.   8.4  7.4]
 [ 4.4  7.2 11.8  6.2]
 [ 4.6  6.   5.8 13.2]]"
FFTTT,CART,5,0.3615154536390827,0.3653186388411764,0.3615154536390827,0.3593797470244034,"[[ 9.6  6.4  6.8  6.8]
 [ 6.8 11.4  5.6  5.8]
 [ 7.4  8.6  7.8  5.8]
 [ 4.8  6.4  4.4 14. ]]"
FTFFF,CART,5,0.3412761714855433,0.3414314621984478,0.3412761714855433,0.3346279497526109,"[[ 9.6  5.8  6.2  8. ]
 [ 9.4  6.8  6.8  6.6]
 [ 6.8  6.6  9.6  6.6]
 [ 4.4  5.6  5.2 14.4]]"
FTFFT,CART,5,0.3648055832502492,0.3718789103795997,0.3648055832502492,0.3644031778174216,"[[ 9.2  6.2  7.4  6.8]
 [ 6.  11.6  5.6  6.4]
 [ 5.8  7.4 10.   6.4]
 [ 5.6  6.4  5.2 12.4]]"
FTFTF,CART,5,0.3885771257655604,0.3976933753236432,0.3885771257655604,0.3861882307026106,"[[12.8  4.4  7.   5.4]
 [ 5.6 10.2  7.2  6.6]
 [ 4.2  7.6 10.4  7.4]
 [ 5.2  6.6  5.2 12.6]]"
FTFTT,CART,5,0.3512605042016807,0.3574427214899772,0.3512605042016807,0.3465944776506812,"[[10.2  5.8  7.4  6.2]
 [ 6.4  8.2  8.4  6.6]
 [ 6.6  6.  10.4  6.6]
 [ 5.8  6.6  4.4 12.8]]"
FTTFF,CART,5,0.3547927645634525,0.3662093583646987,0.3547927645634525,0.3541408146350978,"[[11.2  4.6  7.6  6.2]
 [ 7.2  8.8  8.   5.6]
 [ 7.   7.6  8.2  6.8]
 [ 5.4  4.4  6.  13.8]]"
FTTFT,CART,5,0.3732944025067654,0.3771906367508664,0.3732944025067654,0.3682453032781834,"[[10.   6.6  7.2  5.8]
 [ 5.  10.   8.2  6.4]
 [ 6.8  6.8  9.4  6.6]
 [ 5.   4.2  5.6 14.8]]"
FTTTF,CART,5,0.3867397806580259,0.3928018580208418,0.3867397806580259,0.3855345197554102,"[[ 9.8  6.2  4.6  9. ]
 [ 6.2 10.6  6.6  6.2]
 [ 6.6  8.4 10.4  4.2]
 [ 4.8  6.   3.8 15. ]]"
FTTTT,CART,5,0.3868109955846745,0.397566148751092,0.3868109955846745,0.3845770116645448,"[[ 9.8  7.8  5.2  6.8]
 [ 8.2 11.   4.8  5.6]
 [ 5.6  7.4 10.6  6. ]
 [ 5.   4.8  5.4 14.4]]"
TFFFF,CART,5,0.3694311898810876,0.3805068042169489,0.3694311898810876,0.3691276469335162,"[[16.2  6.6  8.4  9.4]
 [ 8.2 15.2  9.6  7.6]
 [ 9.8 11.8 12.   7. ]
 [ 7.6  6.6  9.8 16.6]]"
TFFFT,CART,5,0.3127395288949481,0.3218724940431947,0.3127395288949481,0.3143239062893282,"[[11.6  7.8 10.6 10.6]
 [10.2 11.6 11.4  7.4]
 [ 9.  10.4 11.6  9.6]
 [ 8.2  8.2  8.2 16. ]]"
TFFTF,CART,5,0.3806028932818299,0.3857840364815379,0.3806028932818299,0.3790845589535055,"[[14.6  6.4  8.6 11. ]
 [ 5.4 12.6 12.8  9.8]
 [ 6.4 11.  15.8  7.4]
 [ 8.4  6.   7.4 18.8]]"
TFFTT,CART,5,0.3596076649246383,0.368292566847856,0.3596076649246383,0.3594159758963392,"[[14.   6.  10.2 10.4]
 [ 8.8 14.4  7.8  9.6]
 [10.   8.6 11.8 10.2]
 [ 7.4  6.2  8.8 18.2]]"
TFTFF,CART,5,0.3311974551238354,0.329467008809291,0.3311974551238354,0.325714450440962,"[[14.2  8.2  8.4  9.8]
 [ 8.6 12.   9.6 10.4]
 [10.8 10.  10.2  9.6]
 [ 8.8  7.6  6.8 17.4]]"
TFTFT,CART,5,0.3509429675073846,0.3499718105383517,0.3509429675073846,0.3469467011520847,"[[15.8  7.   8.4  9.4]
 [11.  11.8 10.2  7.6]
 [ 9.6  8.6 12.  10.4]
 [ 7.8  7.4  8.  17.4]]"
TFTTF,CART,5,0.3619934863288646,0.3694947188367577,0.3619934863288646,0.3606060201800657,"[[14.  10.   9.8  6.8]
 [ 7.2 13.8 11.2  8.4]
 [ 7.6 10.6 14.6  7.8]
 [ 8.   7.6  8.6 16.4]]"
TFTTT,CART,5,0.354676967355904,0.3648371301090798,0.354676967355904,0.357154789411123,"[[14.2  8.4  9.4  8.6]
 [ 8.  13.8 11.6  7.2]
 [ 8.   8.8 14.2  9.6]
 [ 6.  10.2  9.  15.4]]"
TTFFF,CART,5,0.3472619859122926,0.3444414590154392,0.3472619859122926,0.3427666540773337,"[[13.6  7.4  9.2 10.4]
 [ 8.6 11.6 12.6  7.8]
 [10.4  7.8 12.  10.4]
 [ 7.6  7.4  6.4 19.2]]"
TTFFT,CART,5,0.3484889797773233,0.34926261337194,0.3484889797773233,0.3458148917966368,"[[12.6  8.6 10.6  8.8]
 [ 7.8 13.6  9.6  9.6]
 [ 7.4 11.8 12.4  9. ]
 [ 9.4  5.8  7.4 18. ]]"
TTFTF,CART,5,0.3633568128455654,0.3654875663310395,0.3633568128455654,0.3623874319472817,"[[14.2  9.   6.8 10.6]
 [ 7.4 13.2 10.  10. ]
 [ 8.6  7.4 15.4  9.2]
 [ 8.6  8.   7.8 16.2]]"
TTFTT,CART,5,0.3792850109823525,0.3825989342847908,0.3792850109823525,0.3728421949064872,"[[14.4  8.6  8.8  8.8]
 [ 9.4 12.  11.   8.2]
 [ 9.   6.8 15.8  9. ]
 [ 6.2  5.8  9.2 19.4]]"
TTTFF,CART,5,0.3669544800424146,0.3697686126262458,0.3669544800424146,0.3659717960166597,"[[16.2  8.   8.2  8.2]
 [ 7.8 11.8 11.6  9.4]
 [ 8.4  9.  15.6  7.6]
 [ 8.6  8.2  7.8 16. ]]"
TTTFT,CART,5,0.3398773006134969,0.3430421319587103,0.3398773006134969,0.3380162605218101,"[[11.8  9.4  9.8  9.6]
 [ 8.6 11.6  9.8 10.6]
 [10.   8.4 15.   7.2]
 [ 7.6  5.8 10.4 16.8]]"
TTTTF,CART,5,0.3781489055517685,0.381797315015761,0.3781489055517685,0.3773275379318801,"[[15.2  8.   9.4  8. ]
 [ 9.2 13.2 10.   8.2]
 [ 9.6  9.2 14.2  7.6]
 [ 6.8  6.6  8.4 18.8]]"
